"maxclustersize","ntips","nhybrids","Network","level","treechild","name"
4,32,5,"simulated",5,FALSE,"sim_1311"
4,28,5,"simulated",5,FALSE,"sim_1312"
4,27,6,"simulated",6,FALSE,"sim_1313"
4,37,8,"simulated",5,FALSE,"sim_1316"
4,19,2,"simulated",2,TRUE,"sim_1317"
3,35,4,"simulated",1,FALSE,"sim_1318"
4,43,7,"simulated",7,FALSE,"sim_1319"
4,25,3,"simulated",3,TRUE,"sim_1322"
7,50,16,"simulated",16,FALSE,"sim_1323"
3,18,1,"simulated",1,TRUE,"sim_1324"
3,16,2,"simulated",2,FALSE,"sim_1325"
6,47,11,"simulated",11,FALSE,"sim_1326"
6,48,13,"simulated",12,FALSE,"sim_1328"
5,42,8,"simulated",8,FALSE,"sim_1330"
3,38,3,"simulated",1,FALSE,"sim_1331"
3,45,5,"simulated",3,TRUE,"sim_1332"
4,56,5,"simulated",3,FALSE,"sim_1333"
3,31,4,"simulated",2,FALSE,"sim_1334"
4,48,7,"simulated",7,FALSE,"sim_1337"
3,20,3,"simulated",3,TRUE,"sim_1339"
4,53,4,"simulated",4,TRUE,"sim_1342"
5,81,7,"simulated",7,FALSE,"sim_1343"
3,34,2,"simulated",1,TRUE,"sim_1344"
3,20,1,"simulated",1,TRUE,"sim_1345"
5,71,14,"simulated",14,FALSE,"sim_1346"
3,31,1,"simulated",1,TRUE,"sim_1347"
6,96,15,"simulated",15,FALSE,"sim_1352"
3,31,2,"simulated",1,TRUE,"sim_1354"
